InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C28H26N2O9/c1-17-26(29-27(38-17)18-5-3-2-4-6-18)24(33)16-37-22-10-7-19(23(32)13-22)14-30(15-25(34)35)28(36)39-21-11-8-20(31)9-12-21/h2-13,24,31-33H,14-16H2,1H3,(H,34,35)",BVYUEDVXGIDASJ-UHFFFAOYSA-N,CC=1OC(C2=CC=CC=C2)=NC1C(COC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3)O,,,C28H26N2O9,534.163830412,4.816299999999999,1,1,1,BTM00001,BTM00001,Hydroxylation of non-terminal aliphatic carbon adjacent to aromatic ring,BTMR1077,"CYP1A2
CYP2C8
CYP2C9
CYP2D6
CYP3A4",HUMAN,sub_0,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3,"InChI=1S/C28H26N2O8/c1-18-24(29-27(37-18)19-5-3-2-4-6-19)13-14-36-23-10-7-20(25(32)15-23)16-30(17-26(33)34)28(35)38-22-11-8-21(31)9-12-22/h2-12,15,31-32H,13-14,16-17H2,1H3,(H,33,34)",RAIVXTOUSMJXBL-UHFFFAOYSA-N,,518.1689
"InChI=1S/C28H26N2O9/c1-17-23(29-26(38-17)18-5-3-2-4-6-18)13-14-37-21-11-12-22(24(32)15-21)27(35)30(16-25(33)34)28(36)39-20-9-7-19(31)8-10-20/h2-12,15,27,31-32,35H,13-14,16H2,1H3,(H,33,34)",JMJZUWLEYDSUEV-UHFFFAOYSA-N,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(C(N(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)O)C(O)=C3,,,C28H26N2O9,534.163830412,4.6993,1,1,1,BTM00002,BTM00002,Hydroxylation of non-terminal aliphatic carbon adjacent to aromatic ring,BTMR1077,"CYP1A2
CYP2C8
CYP2C9
CYP2D6
CYP3A4",HUMAN,sub_0,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3,"InChI=1S/C28H26N2O8/c1-18-24(29-27(37-18)19-5-3-2-4-6-19)13-14-36-23-10-7-20(25(32)15-23)16-30(17-26(33)34)28(35)38-22-11-8-21(31)9-12-22/h2-12,15,31-32H,13-14,16-17H2,1H3,(H,33,34)",RAIVXTOUSMJXBL-UHFFFAOYSA-N,,518.1689
"InChI=1S/C12H11NO2/c1-9-11(7-8-14)13-12(15-9)10-5-3-2-4-6-10/h2-6,8H,7H2,1H3",OILCAWGLITYJMZ-UHFFFAOYSA-N,CC=1OC(C2=CC=CC=C2)=NC1CC=O,,,C12H11NO2,201.078978592,2.4625999999999997,0,0,0,BTM00003,BTM00003,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,sub_0,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3,"InChI=1S/C28H26N2O8/c1-18-24(29-27(37-18)19-5-3-2-4-6-19)13-14-36-23-10-7-20(25(32)15-23)16-30(17-26(33)34)28(35)38-22-11-8-21(31)9-12-22/h2-12,15,31-32H,13-14,16-17H2,1H3,(H,33,34)",RAIVXTOUSMJXBL-UHFFFAOYSA-N,,518.1689
"InChI=1S/C16H15NO7/c18-11-3-5-13(6-4-11)24-16(23)17(9-15(21)22)8-10-1-2-12(19)7-14(10)20/h1-7,18-20H,8-9H2,(H,21,22)",NOVYQYAXIPWETG-UHFFFAOYSA-N,OC1=CC=C(CN(CC(=O)O)C(=O)OC2=CC=C(O)C=C2)C(O)=C1,,,C16H15NO7,333.08485182,2.5464999999999995,0,1,1,BTM00004,BTM00004,O-Dealkylation,BTMR0052,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,sub_0,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3,"InChI=1S/C28H26N2O8/c1-18-24(29-27(37-18)19-5-3-2-4-6-19)13-14-36-23-10-7-20(25(32)15-23)16-30(17-26(33)34)28(35)38-22-11-8-21(31)9-12-22/h2-12,15,31-32H,13-14,16-17H2,1H3,(H,33,34)",RAIVXTOUSMJXBL-UHFFFAOYSA-N,,518.1689
"InChI=1S/C28H26N2O9/c31-17-25-23(29-27(39-25)18-4-2-1-3-5-18)12-13-37-22-9-6-19(24(33)14-22)15-30(16-26(34)35)28(36)38-21-10-7-20(32)8-11-21/h1-11,14,31-33H,12-13,15-17H2,(H,34,35)",QRFKJYYVFNSOIM-UHFFFAOYSA-N,C(C=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3)O,,,C28H26N2O9,534.163830412,4.150800000000001,1,2,2,BTM00005,BTM00005,Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring,BTMR1058,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,sub_0,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3,"InChI=1S/C28H26N2O8/c1-18-24(29-27(37-18)19-5-3-2-4-6-19)13-14-36-23-10-7-20(25(32)15-23)16-30(17-26(33)34)28(35)38-22-11-8-21(31)9-12-22/h2-12,15,31-32H,13-14,16-17H2,1H3,(H,33,34)",RAIVXTOUSMJXBL-UHFFFAOYSA-N,,518.1689
"InChI=1S/C12H11NO2/c1-9-11(7-8-14)13-12(15-9)10-5-3-2-4-6-10/h2-6,8H,7H2,1H3",OILCAWGLITYJMZ-UHFFFAOYSA-N,CC=1OC(C2=CC=CC=C2)=NC1CC=O,,,C12H11NO2,201.078978592,2.4625999999999997,0,0,0,BTM00003,BTM00003,O-Aryl dealkylation not adjacent to substituted carbon,BTMR1132,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,sub_0,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3,"InChI=1S/C28H26N2O8/c1-18-24(29-27(37-18)19-5-3-2-4-6-19)13-14-36-23-10-7-20(25(32)15-23)16-30(17-26(33)34)28(35)38-22-11-8-21(31)9-12-22/h2-12,15,31-32H,13-14,16-17H2,1H3,(H,33,34)",RAIVXTOUSMJXBL-UHFFFAOYSA-N,,518.1689
"InChI=1S/C16H15NO7/c18-11-3-5-13(6-4-11)24-16(23)17(9-15(21)22)8-10-1-2-12(19)7-14(10)20/h1-7,18-20H,8-9H2,(H,21,22)",NOVYQYAXIPWETG-UHFFFAOYSA-N,OC1=CC=C(CN(CC(=O)O)C(=O)OC2=CC=C(O)C=C2)C(O)=C1,,,C16H15NO7,333.08485182,2.5464999999999995,0,1,1,BTM00004,BTM00004,O-Aryl dealkylation not adjacent to substituted carbon,BTMR1132,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,sub_0,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3,"InChI=1S/C28H26N2O8/c1-18-24(29-27(37-18)19-5-3-2-4-6-19)13-14-36-23-10-7-20(25(32)15-23)16-30(17-26(33)34)28(35)38-22-11-8-21(31)9-12-22/h2-12,15,31-32H,13-14,16-17H2,1H3,(H,33,34)",RAIVXTOUSMJXBL-UHFFFAOYSA-N,,518.1689
"InChI=1S/C28H26N2O9/c1-17-22(29-27(38-17)18-5-3-2-4-6-18)11-12-37-20-8-7-19(24(32)13-20)15-30(16-26(34)35)28(36)39-21-9-10-23(31)25(33)14-21/h2-10,13-14,31-33H,11-12,15-16H2,1H3,(H,34,35)",HVXHIFUUJAHBPI-UHFFFAOYSA-N,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C(=C4)O)C(O)=C3,,,C28H26N2O9,534.163830412,4.771599999999999,1,1,1,BTM00006,BTM00006,"2-Hydroxylation of 1,4-disubstituted benzene",BTMR0037,CYP1A2,HUMAN,sub_0,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3,"InChI=1S/C28H26N2O8/c1-18-24(29-27(37-18)19-5-3-2-4-6-19)13-14-36-23-10-7-20(25(32)15-23)16-30(17-26(33)34)28(35)38-22-11-8-21(31)9-12-22/h2-12,15,31-32H,13-14,16-17H2,1H3,(H,33,34)",RAIVXTOUSMJXBL-UHFFFAOYSA-N,,518.1689
"InChI=1S/C28H26N2O9/c1-17-23(29-27(38-17)18-5-3-2-4-6-18)11-12-37-21-13-24(32)22(25(33)14-21)15-30(16-26(34)35)28(36)39-20-9-7-19(31)8-10-20/h2-10,13-14,31-33H,11-12,15-16H2,1H3,(H,34,35)",UJYIPBCJJNDVGK-UHFFFAOYSA-N,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC(=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3)O,,,C28H26N2O9,534.163830412,4.771599999999999,1,1,1,BTM00007,BTM00007,Hydroxylation of benzene on carbon ortho to electron donating group,BTMR1045,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,sub_0,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3,"InChI=1S/C28H26N2O8/c1-18-24(29-27(37-18)19-5-3-2-4-6-19)13-14-36-23-10-7-20(25(32)15-23)16-30(17-26(33)34)28(35)38-22-11-8-21(31)9-12-22/h2-12,15,31-32H,13-14,16-17H2,1H3,(H,33,34)",RAIVXTOUSMJXBL-UHFFFAOYSA-N,,518.1689
"InChI=1S/C12H11NO2/c1-9-11(7-8-14)13-12(15-9)10-5-3-2-4-6-10/h2-6,8H,7H2,1H3",OILCAWGLITYJMZ-UHFFFAOYSA-N,CC=1OC(C2=CC=CC=C2)=NC1CC=O,,,C12H11NO2,201.078978592,2.4625999999999997,0,0,0,BTM00003,BTM00003,O-Aryl dealkylation adjacent to substituted carbon,BTMR1131,"CYP1A2
CYP2C8
CYP2C9
CYP2D6
CYP2E1
CYP3A4",HUMAN,sub_0,CC=1OC(C2=CC=CC=C2)=NC1CCOC3=CC=C(CN(CC(=O)O)C(=O)OC4=CC=C(O)C=C4)C(O)=C3,"InChI=1S/C28H26N2O8/c1-18-24(29-27(37-18)19-5-3-2-4-6-19)13-14-36-23-10-7-20(25(32)15-23)16-30(17-26(33)34)28(35)38-22-11-8-21(31)9-12-22/h2-12,15,31-32H,13-14,16-17H2,1H3,(H,33,34)",RAIVXTOUSMJXBL-UHFFFAOYSA-N,,518.1689
