system,criterion,k,population,recall,ci_lo,ci_hi,n_substrates,n_references,mean_emitted_at_k,mean_emitted_untruncated,predictions_from,references_from,interval
whole bank,exact,1,comparison291,0.0752,0.0565,0.0971,291,665,1.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,3,comparison291,0.1789,0.1469,0.2143,291,665,3.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,5,comparison291,0.2376,0.2,0.2794,291,665,5.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,8,comparison291,0.3068,0.2629,0.3538,291,665,8.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,10,comparison291,0.3308,0.2846,0.3807,291,665,10.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,15,comparison291,0.3865,0.3367,0.4387,291,665,15.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,20,comparison291,0.418,0.3666,0.4739,291,665,20.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,30,comparison291,0.4602,0.404,0.5187,291,665,30.0,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
whole bank,exact,50,comparison291,0.4902,0.4312,0.5512,291,665,49.931,98.371,results/widepools_implicit/w*.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,1,comparison291,0.0782,0.059,0.1002,291,665,1.0,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,3,comparison291,0.1865,0.1548,0.2219,291,665,2.997,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,5,comparison291,0.2541,0.2148,0.2967,291,665,4.966,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,8,comparison291,0.3068,0.2625,0.3541,291,665,7.605,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,10,comparison291,0.3338,0.2863,0.3847,291,665,9.038,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,15,comparison291,0.3669,0.3151,0.4222,291,665,11.54,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,20,comparison291,0.3699,0.3182,0.4249,291,665,12.808,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,30,comparison291,0.3729,0.3215,0.4286,291,665,13.928,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
trained budget,exact,50,comparison291,0.3729,0.3215,0.4286,291,665,14.787,15.639,results/widepools_k30/all.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,exact,1,comparison291,0.0346,0.0211,0.0505,291,665,1.0,32.536,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,exact,3,comparison291,0.0992,0.0759,0.1261,291,665,3.0,32.536,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,exact,5,comparison291,0.1534,0.1235,0.186,291,665,5.0,32.536,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,exact,8,comparison291,0.215,0.1763,0.2566,291,665,7.983,32.536,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,exact,10,comparison291,0.2647,0.2204,0.311,291,665,9.959,32.536,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,exact,15,comparison291,0.3429,0.2908,0.3973,291,665,14.677,32.536,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,exact,20,comparison291,0.3714,0.3169,0.4286,291,665,18.9,32.536,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,exact,30,comparison291,0.3955,0.3394,0.453,291,665,25.691,32.536,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metatox,exact,50,comparison291,0.4226,0.3654,0.4808,291,665,32.536,32.536,results/metatox_smirks_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,1,comparison291,0.1414,0.1164,0.1697,291,665,0.997,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,3,comparison291,0.2707,0.231,0.3148,291,665,2.99,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,5,comparison291,0.3549,0.3116,0.403,291,665,4.976,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,8,comparison291,0.3985,0.3526,0.4493,291,665,7.921,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,10,comparison291,0.4271,0.3806,0.4768,291,665,9.856,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,15,comparison291,0.4541,0.4064,0.5049,291,665,14.632,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,20,comparison291,0.4662,0.4191,0.5145,291,665,19.292,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,30,comparison291,0.4737,0.4268,0.5224,291,665,27.643,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
sygma,exact,50,comparison291,0.4767,0.43,0.5251,291,665,40.505,40.505,results/sygma_fulltest_predictions.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,1,comparison291,0.1353,0.1108,0.164,291,665,0.997,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,3,comparison291,0.2466,0.2108,0.2862,291,665,2.983,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,5,comparison291,0.3023,0.2625,0.3468,291,665,4.969,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
metapredictor,exact,8,comparison291,0.3774,0.3346,0.4249,291,665,7.938,13.68,artifacts/tier2_1170/metapredictor_preds.json,"results/test_references.json, re-keyed",computed here; the repository stores none per arm
